Unit Id,Unit
2000,Text unit
32767,Empty unit
1211,mA
1212,μA
1209,A
1240,V
1243,mV
1281,Ω
1284,kΩ
1283,MΩ
1000,K
1001,℃ 
1002,℉ 
1003,°R
999,°Re
1005,°
1342,%
1133,kPa
1130,Pa
1131,GPa
1132,MPa
1134,mPa
1135,μPa
1136,hPa
1137,bar
1138,mbar
1139,torr
1140,atm
1141,psi
1142,psia
1143,psig
1144,gf/cm²
1145,kgf/cm²
1147,inH2O@4°C
1148,inH2O@68°F
1150,mmH2O@4°C
1151,mmH2O@20°C
1153,ftH2O@4°C
1154,ftH2O@68°F
1156,inHg@0°C
1158,mmHg@0°C
2001,mtorr
2002,lb/ft²
2003,tsi
2004,psf
2005,inH2O@60°F
2006,ftH2O@60°F
2007,cmH2O@4°C
2008,mH2O@4°C
2009,cmHg@0°C
2010,mHg@0°C
2011,kgf/m²
